Restaurant_Name,City,Cuisine,Rating,Votes,Cost_For_Two,Review,Date,Month,Year,Sentiment_Label,VADER_Compound_Score,Reviewer_Name,Dining_Type,Has_Online_Delivery,Has_Table_Booking,Review_Length,Word_Count
Pizza Hut,Delhi,Continental,4.8,2054,500,Great place for family dining. Kids loved the food and staff was very accommodating.,2023-01-02,January,2023,Positive,0.9025,User_2684,Delivery,No,Yes,84,14
Smoke House Deli,Bangalore,Chinese,3.1,2195,500,Decent place with average food. Nothing extraordinary but nothing terrible either.,2023-02-26,February,2023,Neutral,0.2547,User_3608,Takeaway,Yes,No,82,11
Mainland China,Ahmedabad,Italian,4.4,203,500,Great place for family dining. Kids loved the food and staff was very accommodating.,2022-08-22,August,2022,Positive,0.5136,User_4164,Delivery,No,No,84,14
Haldirams,Chennai,Fast Food,2.3,954,200,Extremely slow service. The food arrived cold and without proper presentation at all.,2022-12-06,December,2022,Negative,-0.4094,User_5279,Dine-in,No,Yes,85,13
McDonald's,Pune,Fast Food,1.8,4733,1000,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2022-04-29,April,2022,Negative,-0.311,User_4114,Delivery,Yes,No,83,11
Biryani Blues,Hyderabad,Fast Food,4.9,2470,300,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2023-11-11,November,2023,Positive,0.7362,User_9308,Delivery,No,No,80,11
Bukhara,Chennai,Thai,4.6,4672,2000,The portions are generous and the taste is authentic. Great value for money indeed.,2022-06-28,June,2022,Positive,0.5654,User_5930,Delivery,Yes,No,83,14
Pind Balluchi,Hyderabad,Mughlai,2.2,4197,500,The biryani was bland and overpriced. Expected much better quality from this place.,2023-03-29,March,2023,Negative,-0.6745,User_8752,Takeaway,Yes,Yes,83,13
Pind Balluchi,Kolkata,South Indian,3.5,210,400,Moderate experience overall. Some dishes were good while others were just average.,2022-07-23,July,2022,Neutral,-0.1652,User_1757,Dine-in,No,Yes,82,12
Oh! Calcutta,Pune,Mexican,4.3,883,200,The butter chicken here is legendary. Cannot stop thinking about it even now.,2022-06-01,June,2022,Positive,0.5798,User_7965,Dine-in,Yes,No,77,13
Barbeque Nation,Hyderabad,South Indian,4.4,2609,2000,Superb food quality and excellent presentation. The desserts were absolutely divine.,2023-07-27,July,2023,Positive,0.6718,User_8251,Takeaway,No,No,84,11
Burger King,Ahmedabad,Bengali,4.8,1969,1200,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2023-06-18,June,2023,Positive,0.4941,User_5499,Delivery,Yes,No,88,13
Smoke House Deli,Chennai,Fast Food,3.9,1762,400,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-01-28,January,2023,Positive,0.4056,User_2052,Delivery,No,No,73,10
Flurys,Ahmedabad,Mughlai,4.3,4726,200,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2023-08-22,August,2023,Positive,0.9334,User_7232,Delivery,Yes,No,82,12
Punjab Grill,Pune,Mughlai,4.5,1807,1200,The butter chicken here is legendary. Cannot stop thinking about it even now.,2022-08-14,August,2022,Positive,0.7223,User_5471,Delivery,No,Yes,77,13
Moti Mahal,Kolkata,Mughlai,2.7,3237,200,Not hygienic at all. Found something unexpected in my food. Completely put off.,2023-07-01,July,2023,Negative,-0.3135,User_1444,Dine-in,No,Yes,79,13
Oh! Calcutta,Bangalore,North Indian,4.1,3463,600,Incredible flavors! This is my go-to place for celebrations and special occasions.,2023-01-24,January,2023,Positive,0.5288,User_5133,Dine-in,No,Yes,82,12
Flurys,Delhi,Fast Food,4.7,1643,500,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2022-02-01,February,2022,Positive,0.7562,User_1333,Takeaway,Yes,Yes,85,13
Pizza Hut,Ahmedabad,South Indian,1.9,4973,400,The staff was rude and unhelpful. Will never visit again and do not recommend.,2023-01-13,January,2023,Negative,-0.8206,User_2876,Dine-in,No,Yes,78,14
Zara,Delhi,Continental,1.8,1999,2000,Extremely slow service. The food arrived cold and without proper presentation at all.,2022-03-19,March,2022,Negative,-0.4995,User_2669,Takeaway,No,Yes,85,13
6 Ballygunge Place,Delhi,Fast Food,4.2,3451,200,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2022-12-16,December,2022,Positive,0.6542,User_9031,Dine-in,No,No,80,11
Oh! Calcutta,Bangalore,Mughlai,5.0,3818,1200,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-07-06,July,2023,Positive,0.4891,User_8136,Takeaway,No,No,73,10
Smoke House Deli,Mumbai,Continental,3.6,2765,1000,Moderate experience overall. Some dishes were good while others were just average.,2023-11-16,November,2023,Neutral,0.0419,User_1470,Delivery,No,Yes,82,12
Aminia,Hyderabad,Fast Food,1.5,93,1500,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2022-10-10,October,2022,Negative,-0.5827,User_9464,Dine-in,Yes,Yes,83,11
Indian Accent,Ahmedabad,Thai,1.9,772,200,Pathetic quality control. The food was terrible and caused stomach issues afterwards.,2023-04-04,April,2023,Negative,-0.5017,User_5820,Dine-in,No,Yes,85,12
Punjab Grill,Kolkata,Bengali,1.8,3727,800,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2022-12-05,December,2022,Negative,-0.4778,User_5438,Delivery,No,Yes,83,11
KFC,Hyderabad,Fast Food,4.9,3976,500,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2022-07-16,July,2022,Positive,0.7831,User_5530,Takeaway,No,Yes,73,10
The Irish House,Chennai,Italian,3.8,456,200,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2022-10-08,October,2022,Positive,0.6739,User_5786,Takeaway,Yes,No,87,13
McDonald's,Delhi,Mexican,4.3,3923,600,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2022-02-22,February,2022,Positive,0.4291,User_2869,Dine-in,No,No,84,15
Haldirams,Delhi,Chinese,4.9,4581,300,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2022-09-12,September,2022,Positive,0.3596,User_7818,Takeaway,Yes,No,85,14
Mocambo,Ahmedabad,Continental,3.2,1712,300,Visited during lunch. The thali was alright but nothing particularly special.,2023-09-17,September,2023,Neutral,0.0726,User_4457,Delivery,Yes,Yes,77,11
Smoke House Deli,Bangalore,Thai,4.3,277,600,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2023-04-27,April,2023,Positive,0.7826,User_4792,Delivery,No,No,82,13
Haldirams,Hyderabad,Continental,2.1,950,1000,Very bad experience overall. The manager was unapologetic about the long wait time.,2022-07-22,July,2022,Negative,-0.4373,User_9922,Dine-in,Yes,No,83,13
Subway,Mumbai,North Indian,4.5,1028,1200,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2022-10-23,October,2022,Positive,0.877,User_8679,Takeaway,No,No,87,13
Yauatcha,Ahmedabad,Bengali,4.9,221,600,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2023-09-11,September,2023,Positive,0.8142,User_2496,Dine-in,Yes,No,82,13
6 Ballygunge Place,Delhi,Chinese,4.3,4038,1000,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2023-08-23,August,2023,Positive,0.4947,User_2494,Delivery,No,No,80,11
Udupi Palace,Kolkata,South Indian,3.3,4516,1000,Standard restaurant with regular Indian food. Nothing to write home about really.,2023-11-10,November,2023,Neutral,-0.0027,User_1601,Delivery,Yes,No,81,12
Mamagoto,Kolkata,South Indian,3.7,3794,1500,Visited during lunch. The thali was alright but nothing particularly special.,2022-01-02,January,2022,Neutral,0.195,User_7770,Dine-in,Yes,No,77,11
Oudh 1590,Ahmedabad,Bengali,1.5,3980,1200,The staff was rude and unhelpful. Will never visit again and do not recommend.,2022-10-22,October,2022,Negative,-0.9083,User_2989,Dine-in,Yes,Yes,78,14
Punjab Grill,Delhi,Thai,5.0,1271,300,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2023-04-18,April,2023,Positive,0.9391,User_9165,Takeaway,No,No,88,13
Indian Accent,Ahmedabad,Bengali,4.0,1128,1500,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-09-06,September,2023,Positive,0.4334,User_2143,Delivery,No,No,73,10
Aaheli,Chennai,North Indian,4.8,1227,1200,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-11-07,November,2023,Positive,0.7059,User_8316,Takeaway,No,No,87,13
Udupi Palace,Pune,Bengali,3.8,3375,500,Moderate experience overall. Some dishes were good while others were just average.,2023-01-28,January,2023,Neutral,-0.1567,User_1715,Delivery,No,No,82,12
Moti Mahal,Bangalore,Bengali,3.4,826,1200,The ambiance is nice but food quality could be improved considerably.,2022-04-13,April,2022,Neutral,0.0541,User_9617,Delivery,Yes,Yes,69,11
Indian Accent,Bangalore,South Indian,4.2,2701,300,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-10-28,October,2023,Positive,0.7849,User_9742,Delivery,No,No,87,13
Flurys,Delhi,Mexican,4.6,3565,300,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2022-08-21,August,2022,Positive,0.5012,User_2612,Takeaway,Yes,No,80,11
Burger King,Chennai,North Indian,3.9,2010,400,Superb food quality and excellent presentation. The desserts were absolutely divine.,2023-03-18,March,2023,Positive,0.5509,User_9702,Delivery,Yes,Yes,84,11
Taco Bell,Mumbai,Mexican,3.5,1912,400,Visited twice and both times it was a mixed bag experience. Inconsistent quality.,2023-08-21,August,2023,Neutral,-0.0014,User_8555,Takeaway,No,No,81,13
Mamagoto,Delhi,Bengali,3.0,2460,2000,Not bad but not great either. Service was slow but the staff was polite throughout.,2022-12-20,December,2022,Neutral,-0.035,User_7951,Takeaway,No,No,83,15
Punjab Grill,Hyderabad,Mughlai,3.1,2428,600,Good location but the food is just okay. Service was average and took some time.,2023-08-12,August,2023,Neutral,0.0432,User_1359,Takeaway,No,No,80,15
Biryani Blues,Delhi,Mexican,2.5,1567,500,Food was not at all what was shown in the menu photos. Very deceiving experience.,2022-12-27,December,2022,Negative,-0.8389,User_5106,Takeaway,Yes,Yes,81,15
Mainland China,Chennai,Bengali,4.7,3413,800,Incredible flavors! This is my go-to place for celebrations and special occasions.,2022-10-30,October,2022,Positive,0.3631,User_3877,Dine-in,Yes,No,82,12
Bohemian,Chennai,Chinese,4.9,953,800,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2022-10-30,October,2022,Positive,0.9772,User_8673,Dine-in,Yes,Yes,82,12
Bukhara,Kolkata,South Indian,1.5,4798,600,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2023-01-13,January,2023,Negative,-0.9135,User_7242,Takeaway,No,Yes,82,14
Farzi Cafe,Ahmedabad,North Indian,1.6,3813,300,Average food at best but way too expensive for what you get. Not worth visiting.,2023-10-26,October,2023,Negative,-0.5729,User_5951,Takeaway,No,Yes,80,15
Pizza Hut,Delhi,North Indian,3.9,3193,400,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2023-07-05,July,2023,Positive,0.4644,User_8432,Delivery,No,Yes,84,15
Indian Accent,Mumbai,Bengali,1.1,1944,1200,Food was not at all what was shown in the menu photos. Very deceiving experience.,2023-03-31,March,2023,Negative,-0.7406,User_6942,Dine-in,No,No,81,15
Barbeque Nation,Pune,Continental,4.9,4901,500,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2022-04-04,April,2022,Positive,0.8769,User_1349,Dine-in,No,Yes,85,13
Pizza Hut,Hyderabad,South Indian,3.1,1218,800,Not bad but not great either. Service was slow but the staff was polite throughout.,2022-08-27,August,2022,Neutral,-0.1704,User_1046,Delivery,Yes,Yes,83,15
Flurys,Chennai,Chinese,3.8,2662,2000,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2022-09-01,September,2022,Positive,0.3104,User_1258,Dine-in,No,Yes,82,12
Pizza Hut,Pune,Thai,4.4,903,2000,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2023-06-10,June,2023,Positive,0.8446,User_8405,Takeaway,Yes,Yes,85,13
Bohemian,Chennai,Bengali,1.1,894,1000,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2023-02-16,February,2023,Negative,-0.6647,User_9032,Takeaway,No,Yes,82,14
Dominos Pizza,Kolkata,Mexican,4.1,3130,800,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2023-07-16,July,2023,Positive,0.7432,User_9692,Delivery,No,No,75,11
McDonald's,Mumbai,Thai,1.8,3725,800,The staff was rude and unhelpful. Will never visit again and do not recommend.,2023-02-28,February,2023,Negative,-0.3783,User_7532,Delivery,Yes,No,78,14
Peter Cat,Kolkata,Continental,4.6,773,300,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2022-04-04,April,2022,Positive,0.632,User_8075,Dine-in,No,Yes,75,11
Trincas,Delhi,Mexican,3.2,431,1000,Not bad but not great either. Service was slow but the staff was polite throughout.,2022-12-29,December,2022,Neutral,-0.2267,User_5712,Takeaway,No,No,83,15
McDonald's,Hyderabad,Chinese,2.6,951,800,The staff was rude and unhelpful. Will never visit again and do not recommend.,2023-07-24,July,2023,Negative,-0.7549,User_5564,Takeaway,Yes,No,78,14
Trincas,Delhi,Mexican,2.9,2885,800,Okay for a quick meal but probably not my first choice for a special occasion.,2022-11-13,November,2022,Neutral,-0.136,User_1100,Dine-in,Yes,No,78,15
Haldirams,Bangalore,North Indian,4.1,3041,400,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2022-12-16,December,2022,Positive,0.5939,User_6105,Takeaway,No,Yes,73,10
Barbeque Nation,Bangalore,Chinese,2.3,3988,1000,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2023-11-09,November,2023,Negative,-0.8095,User_8242,Delivery,No,Yes,82,14
Aaheli,Mumbai,Fast Food,4.6,382,600,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-06-24,June,2023,Positive,0.7152,User_4612,Delivery,Yes,Yes,87,13
Social,Chennai,Italian,1.5,1449,1000,Food was not at all what was shown in the menu photos. Very deceiving experience.,2023-05-25,May,2023,Negative,-0.916,User_3116,Delivery,Yes,No,81,15
Haldirams,Pune,North Indian,4.9,4707,1000,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2023-08-13,August,2023,Positive,0.9035,User_7626,Takeaway,No,No,84,15
KFC,Pune,North Indian,3.6,731,800,The ambiance is nice but food quality could be improved considerably.,2023-12-08,December,2023,Neutral,0.0709,User_8155,Dine-in,Yes,No,69,11
Zara,Pune,Thai,4.2,635,400,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2022-12-08,December,2022,Positive,0.5377,User_9363,Takeaway,Yes,Yes,82,12
Rajdhani,Kolkata,Chinese,4.1,1461,300,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2022-06-06,June,2022,Positive,0.4214,User_9095,Delivery,No,No,75,11
Saravana Bhavan,Bangalore,Bengali,4.6,2893,200,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2023-08-29,August,2023,Positive,0.8574,User_9312,Dine-in,No,No,84,15
Mocambo,Delhi,North Indian,3.9,4876,2000,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2022-04-03,April,2022,Positive,0.905,User_9307,Delivery,No,Yes,87,13
Mocambo,Hyderabad,Fast Food,1.3,700,800,Average food at best but way too expensive for what you get. Not worth visiting.,2022-04-16,April,2022,Negative,-0.9567,User_9266,Takeaway,Yes,Yes,80,15
Smoke House Deli,Ahmedabad,Bengali,4.0,3358,1000,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2022-10-17,October,2022,Positive,0.561,User_6543,Takeaway,Yes,No,85,14
Haldirams,Kolkata,South Indian,1.5,1241,2000,Extremely slow service. The food arrived cold and without proper presentation at all.,2023-11-04,November,2023,Negative,-0.4934,User_6461,Dine-in,Yes,No,85,13
Punjab Grill,Pune,Chinese,1.6,4322,400,Very disappointing. The food tasted stale and the place looked dirty and unkempt.,2022-12-03,December,2022,Negative,-0.7363,User_2531,Takeaway,No,No,81,13
The Great Kabab Factory,Kolkata,Continental,4.2,1136,500,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2022-07-16,July,2022,Positive,0.8363,User_3538,Dine-in,No,Yes,88,13
Aaheli,Delhi,Fast Food,3.0,1366,400,Visited twice and both times it was a mixed bag experience. Inconsistent quality.,2022-06-16,June,2022,Neutral,-0.074,User_8170,Dine-in,No,No,81,13
Smoke House Deli,Ahmedabad,Mexican,4.7,3852,600,The butter chicken here is legendary. Cannot stop thinking about it even now.,2022-09-02,September,2022,Positive,0.4638,User_4178,Delivery,No,No,77,13
Pind Balluchi,Pune,Thai,4.8,437,600,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2022-05-22,May,2022,Positive,0.8609,User_8873,Delivery,Yes,Yes,75,11
Pind Balluchi,Mumbai,Chinese,4.4,3705,500,Great place for family dining. Kids loved the food and staff was very accommodating.,2022-04-04,April,2022,Positive,0.8817,User_6727,Dine-in,No,Yes,84,14
Bukhara,Kolkata,Italian,4.2,1206,800,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2022-04-12,April,2022,Positive,0.3197,User_3254,Dine-in,No,No,85,13
Pizza Hut,Ahmedabad,Bengali,1.0,4997,1500,Very disappointing. The food tasted stale and the place looked dirty and unkempt.,2022-06-03,June,2022,Negative,-0.849,User_9647,Delivery,Yes,No,81,13
Smoke House Deli,Chennai,South Indian,4.6,4104,300,The portions are generous and the taste is authentic. Great value for money indeed.,2022-03-06,March,2022,Positive,0.736,User_9782,Dine-in,Yes,Yes,83,14
Pind Balluchi,Pune,North Indian,2.1,4298,300,The staff was rude and unhelpful. Will never visit again and do not recommend.,2023-11-16,November,2023,Negative,-0.8689,User_6908,Dine-in,Yes,No,78,14
Arsalan,Delhi,Mughlai,3.6,1985,800,Okay for a quick meal but probably not my first choice for a special occasion.,2022-03-11,March,2022,Neutral,-0.0857,User_2698,Takeaway,No,Yes,78,15
Mainland China,Kolkata,Thai,4.0,1503,1200,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2023-04-21,April,2023,Positive,0.8454,User_3209,Dine-in,No,Yes,80,11
Pind Balluchi,Hyderabad,North Indian,1.6,3888,1500,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2023-02-12,February,2023,Negative,-0.7829,User_5150,Dine-in,Yes,No,82,14
Rajdhani,Delhi,Fast Food,4.2,2787,1000,Superb food quality and excellent presentation. The desserts were absolutely divine.,2023-03-27,March,2023,Positive,0.9226,User_4060,Delivery,No,No,84,11
Bohemian,Chennai,South Indian,1.8,2416,1500,Very disappointing. The food tasted stale and the place looked dirty and unkempt.,2022-07-04,July,2022,Negative,-0.3034,User_6262,Dine-in,Yes,No,81,13
Pind Balluchi,Chennai,Bengali,1.3,2898,200,Extremely slow service. The food arrived cold and without proper presentation at all.,2023-04-03,April,2023,Negative,-0.6893,User_8126,Delivery,Yes,Yes,85,13
Bukhara,Kolkata,Thai,3.8,295,1200,The ambiance is nice but food quality could be improved considerably.,2023-09-15,September,2023,Neutral,-0.2143,User_3068,Dine-in,Yes,No,69,11
Karim's,Pune,Mexican,4.6,639,1200,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2023-01-16,January,2023,Positive,0.9642,User_3255,Takeaway,No,No,75,11
Saravana Bhavan,Chennai,Italian,3.6,974,1500,Decent place with average food. Nothing extraordinary but nothing terrible either.,2023-02-01,February,2023,Neutral,-0.0006,User_5288,Delivery,No,Yes,82,11
Oudh 1590,Chennai,Bengali,4.8,729,1200,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2024-01-01,January,2024,Positive,0.6164,User_6236,Takeaway,No,Yes,75,11
Trincas,Chennai,Continental,3.6,1147,500,The ambiance is nice but food quality could be improved considerably.,2022-05-05,May,2022,Neutral,0.0053,User_4878,Delivery,Yes,No,69,11
Trincas,Kolkata,Bengali,3.0,3271,600,Not bad but not great either. Service was slow but the staff was polite throughout.,2022-03-09,March,2022,Neutral,0.2305,User_8842,Takeaway,No,No,83,15
6 Ballygunge Place,Mumbai,Chinese,3.3,4526,400,Good location but the food is just okay. Service was average and took some time.,2022-12-19,December,2022,Neutral,0.1081,User_3981,Dine-in,No,Yes,80,15
KFC,Bangalore,Continental,4.9,656,600,Incredible flavors! This is my go-to place for celebrations and special occasions.,2023-06-16,June,2023,Positive,0.4578,User_5105,Dine-in,No,Yes,82,12
Punjab Grill,Mumbai,Thai,2.8,4967,2000,The biryani was bland and overpriced. Expected much better quality from this place.,2023-11-06,November,2023,Negative,-0.8921,User_6531,Takeaway,Yes,Yes,83,13
Dominos Pizza,Delhi,Mexican,4.7,4089,200,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2023-10-17,October,2023,Positive,0.5916,User_9938,Delivery,No,No,88,13
Smoke House Deli,Pune,Continental,3.9,1681,1200,The butter chicken here is legendary. Cannot stop thinking about it even now.,2023-05-11,May,2023,Positive,0.6077,User_6573,Takeaway,Yes,No,77,13
Saravana Bhavan,Kolkata,Mughlai,4.4,1013,1200,Incredible flavors! This is my go-to place for celebrations and special occasions.,2022-09-05,September,2022,Positive,0.3743,User_5382,Delivery,Yes,Yes,82,12
McDonald's,Delhi,Continental,3.3,4742,800,Visited twice and both times it was a mixed bag experience. Inconsistent quality.,2022-06-13,June,2022,Neutral,0.2776,User_6123,Dine-in,Yes,No,81,13
Aaheli,Ahmedabad,Bengali,2.9,1982,1200,Average restaurant overall. Food is decent but presentation could be much better.,2023-06-02,June,2023,Neutral,0.2671,User_4524,Takeaway,No,Yes,81,12
Barbeque Nation,Chennai,Bengali,2.3,3540,300,Very bad experience overall. The manager was unapologetic about the long wait time.,2022-01-09,January,2022,Negative,-0.8,User_3194,Delivery,No,No,83,13
Karim's,Delhi,Mughlai,4.0,4140,1000,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2022-03-17,March,2022,Positive,0.6873,User_8378,Takeaway,No,Yes,73,10
Pizza Hut,Mumbai,Mughlai,4.5,4945,500,Incredible flavors! This is my go-to place for celebrations and special occasions.,2022-05-28,May,2022,Positive,0.5559,User_9341,Delivery,Yes,Yes,82,12
Mainland China,Bangalore,Fast Food,3.3,2696,400,Not bad but not great either. Service was slow but the staff was polite throughout.,2023-06-12,June,2023,Neutral,0.0638,User_6218,Dine-in,No,No,83,15
Zara,Kolkata,Thai,3.3,3027,200,Not bad but not great either. Service was slow but the staff was polite throughout.,2023-05-02,May,2023,Neutral,0.0378,User_6427,Takeaway,Yes,No,83,15
Zara,Chennai,North Indian,2.8,1874,2000,Food was not at all what was shown in the menu photos. Very deceiving experience.,2023-08-16,August,2023,Negative,-0.452,User_1841,Takeaway,No,Yes,81,15
